Ti,Ni,Cu,Hf,Zr,Nb,Co,Cr,Fe,Mn,Pd,hysteresis
22.795,42.195,5.82,19.4,6.79,3,0,0,0,0,0,113.74
25,43,7,25,0,0,0,0,0,0,0,42.83
50,48.5,0,0,0,0,1.5,0,0,0,0,34.65
26.55,36.45,8.1,18.9,0,10,0,0,0,0,0,58.56
20,37,13,25,5,0,0,0,0,0,0,42.89
30.9,48.5,0,16.1,2.46,2.04,0,0,0,0,0,50.86
30.9,48.5,0,13.5,3.7,3.4,0,0,0,0,0,68.27
30.9,48.5,0,18.18,1.468,0.952,0,0,0,0,0,54.71
49,48.705,0,0,0,1.35,0,0,0.2025,0,0.7425,47.31
48.5,48.1525,0,0,0,1.755,0,0.4875,0,0,1.105,32.95
48.5,48.925,0,0,0,1.35,0,0.375,0,0,0.85,35.57
48.5,49.955,0,0,0,0.81,0,0.225,0,0,0.51,30.18
49,43.35,0,0,0,4.5,0,0,0.675,0,2.475,31.45
48.5,43.775,0,0,0,4.05,0,1.125,0,0,2.55,33.09
49.55,50.45,0,0,0,0,0,0,0,0,0,29.42
49,44.88,0,0,0,3.6,0,0,0.54,0,1.98,28.36
48.5,50.985,0,0,0,0.27,0,0.075,0,0,0.17,42.05
49,50.49,0,0,0,0.3,0,0,0.045,0,0.165,23.18
49,45.9,0,0,0,3,0,0,0.45,0,1.65,27.14
48.5,44.805,0,0,0,3.51,0,0.975,0,0,2.21,31.13
49.62,50.38,0,0,0,0,0,0,0,0,0,33.89
49.6,50.4,0,0,0,0,0,0,0,0,0,32.21
50,30,20,0,0,0,0,0,0,0,0,16.95
50,37.5,12.5,0,0,0,0,0,0,0,0,22.43
50,35,15,0,0,0,0,0,0,0,0,16.83
29.7,50.3,0,15,5,0,0,0,0,0,0,32
30,50,0,15,5,0,0,0,0,0,0,36.4
30,45,5,15,5,0,0,0,0,0,0,44
30,40,10,15,5,0,0,0,0,0,0,49
30.5,49.5,0,15,5,0,0,0,0,0,0,40.5
31,49,0,15,5,0,0,0,0,0,0,49
31.5,48.5,0,5,15,0,0,0,0,0,0,47.8
31.5,38.5,10,5,15,0,0,0,0,0,0,53.2
31.5,48.5,0,7.5,12.5,0,0,0,0,0,0,46.2
31.5,48.5,0,10,10,0,0,0,0,0,0,45.8
31.5,38.5,10,10,10,0,0,0,0,0,0,50.7
31.5,48.5,0,12.5,7.5,0,0,0,0,0,0,46.2
31.5,48.5,0,15,5,0,0,0,0,0,0,45.6
31.5,43.5,5,15,5,0,0,0,0,0,0,47.5
31.5,38.5,10,15,5,0,0,0,0,0,0,53.6
31.5,33.5,15,15,5,0,0,0,0,0,0,46.7
31.5,28.5,20,15,5,0,0,0,0,0,0,44.2
31.5,48.5,0,20,0,0,0,0,0,0,0,49.8
31.5,43.5,5,20,0,0,0,0,0,0,0,45.1
31.5,38.5,10,20,0,0,0,0,0,0,0,48.5
31.5,48.5,0,0,20,0,0,0,0,0,0,48.7
31.5,43.5,5,0,20,0,0,0,0,0,0,52.7
31.5,38.5,10,0,20,0,0,0,0,0,0,44.5
33,47,0,15,5,0,0,0,0,0,0,50.3
33,42,5,15,5,0,0,0,0,0,0,44.1
33,37,10,15,5,0,0,0,0,0,0,48.4
36,44,0,15,5,0,0,0,0,0,0,49.6
36,49,0,15,0,0,0,0,0,0,0,54.4
36,44,5,15,0,0,0,0,0,0,0,58.2
39,41,0,15,5,0,0,0,0,0,0,45.2
50,10,0,0,0,0,0,0,7,0,33,23.95
50,30,0,0,0,0,0,0,0,0,20,8.34
50,25,0,0,0,0,0,0,0,0,25,13.16
50,49,0,0,0,0,0,0,0.2,0,0.8,28.61
50,49,0,0,0,0,0,0,0.4,0,0.6,27.26
50,27.8,0,0,0,0,0,0,0.6,0,21.6,13.46
50,48.6,0,0,0,0,0,0,0.8,0,0.6,3.11
50,28.2,0,0,0,0,0,0,0.8,0,21,11.26
50,48.6,0,0,0,0,0,0,0.9,0,0.5,18.6
50,48.7,0,0,0,0,0,0,1.3,0,0,3.07
50,45.8,0,0,0,0,0,0,4.2,0,0,3.92
50,45.7,0,0,0,0,0,0,4.3,0,0,3.89
50,30,0.1,0,0,0,0,0,0,0,19.9,10.77
50,29.8,0.1,0,0,0,0,0,0.1,0,20,8.55
50,25.8,1,0,0,0,0,0,2,0,21.2,10.28
50,45.7,1.2,0,0,0,0,0,3,0,0.1,2.75
50,45.1,1.4,0,0,0,0,0,3.5,0,0,3.3
50,43.9,1.5,0,0,0,0,0,4.6,0,0,4.14
50,44.5,1.6,0,0,0,0,0,3.7,0,0.2,3.05
50,44.6,1.9,0,0,0,0,0,3.4,0,0.1,3.07
50,44.2,1.9,0,0,0,0,0,3.8,0,0.1,2.56
50,44.2,1.9,0,0,0,0,0,3.9,0,0,2.8
50,44,2,0,0,0,0,0,4,0,0,3.89
50,43.9,2,0,0,0,0,0,4,0,0.1,3.83
50,43.8,2,0,0,0,0,0,4.1,0,0.1,3.73
50,43.5,2,0,0,0,0,0,4.5,0,0,3.46
50,44.5,2.1,0,0,0,0,0,3.4,0,0,3.49
50,43.9,2.1,0,0,0,0,0,4,0,0,4.54
50,44,2.3,0,0,0,0,0,3.6,0,0.1,3.3
50,44,2.3,0,0,0,0,0,3.7,0,0,4.31
50,43.8,2.6,0,0,0,0,0,3.6,0,0,3.25
50,28.1,2.9,0,0,0,0,0,0,0,19,10.94
50,26.6,3.7,0,0,0,0,0,0,0,19.7,13.67
50,26.4,0.5,0,0,0,0,0,0,0,23.1,14.34
50,25,0,0,0,0,0,0,2.1,0,22.9,12.23
48,50,0,0,0,2,0,0,0,0,0,46.96
25.5,29.4,19.6,25.5,0,0,0,0,0,0,0,38.48
30.6,29.4,19.6,20.4,0,0,0,0,0,0,0,47.74
35.7,29.4,19.6,15.3,0,0,0,0,0,0,0,35.19
40.8,29.4,19.6,10.2,0,0,0,0,0,0,0,33.19
45.9,29.4,19.6,5.1,0,0,0,0,0,0,0,14.29
51,29.4,19.6,0,0,0,0,0,0,0,0,22.2
30.6,24.5,24.5,20.4,0,0,0,0,0,0,0,44.4
30.6,34.3,14.7,20.4,0,0,0,0,0,0,0,40.55
30.6,39.2,9.8,20.4,0,0,0,0,0,0,0,42.77
30.6,44.1,4.9,20.4,0,0,0,0,0,0,0,51.15
30.6,49,0,20.4,0,0,0,0,0,0,0,47.56
